BSSID,First time seen,Last time seen,channel,Speed,Privacy,Cipher,Authentication,Power,# beacons,# IV,LAN IP,ID-length,ESSID,Key,Client_Count,Vulnerability_Score,Vulnerability_level
4E:AB:F8:4C:AD:0F, 2023-11-07 12:07:08, 2023-11-07 12:24:41,  1, 130, WPA2, CCMP, PSK,-74.0,128.0,127.0,   0.  0.  0.  0,12.0, Quintamar 4G, ,0.0,3.0,Highest
C0:05:C2:E4:B3:A1, 2023-11-07 12:07:09, 2023-11-07 12:24:58, 11, 130, WPA2, CCMP, PSK,-36.0,1999.0,0.0,   0.  0.  0.  0,11.0, VTR-3633500, ,0.0,2.0,Medium
88:DE:7C:9B:CC:AF, 2023-11-07 12:07:08, 2023-11-07 12:24:37,  1, 130, WPA2, CCMP, PSK,-75.0,20.0,56.0,   0.  0.  0.  0,15.0, Centro Conaripe, ,0.0,1.8818897637795275,Medium
44:48:B9:07:66:7E, 2023-11-07 12:07:51, 2023-11-07 12:24:51,  6, 130, WPA2, CCMP, PSK,-72.0,50.0,50.0,   0.  0.  0.  0,9.0, PANCURITA, ,0.0,1.7874015748031495,Medium
44:48:B9:49:5C:70, 2023-11-07 12:08:41, 2023-11-07 12:24:58,  6, 130, WPA2, CCMP, PSK,-74.0,93.0,33.0,   0.  0.  0.  0,15.0, Centro Casperia, ,0.0,1.5196850393700787,Medium
2C:96:82:4E:A4:D8, 2023-11-07 12:21:33, 2023-11-07 12:24:58, 11, 720, WPA2, CCMP, PSK,-75.0,1.0,11.0,   0.  0.  0.  0,9.0, PANCURITA, ,0.0,1.1732283464566928,Low
18:35:D1:7D:EC:59, 2023-11-07 12:07:08, 2023-11-07 12:24:12,  1, 130, WPA2, CCMP, PSK,-74.0,94.0,10.0,   0.  0.  0.  0,11.0, VTR-9528717, ,0.0,1.1574803149606299,Low
E4:57:40:E0:25:67, 2023-11-07 12:07:18, 2023-11-07 12:24:58, 11, 130, WPA2, CCMP, PSK,-70.0,41.0,7.0,   0.  0.  0.  0,11.0, VTR-2531514, ,0.0,1.110236220472441,Low
18:35:D1:8F:4E:61, 2023-11-07 12:07:11, 2023-11-07 12:24:57, 11, 130, WPA2, CCMP, PSK,-68.0,1519.0,4.0,   0.  0.  0.  0,11.0, VTR-4171047, ,0.0,1.0629921259842519,Low
40:0D:10:EB:DD:C1, 2023-11-07 12:07:37, 2023-11-07 12:24:58,  6, 130, WPA2, CCMP, PSK,-74.0,18.0,2.0,   0.  0.  0.  0,6.0, ELISSA, ,0.0,1.031496062992126,Low
