
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
40:0D:10:07:93:59, 2023-11-07 12:07:08, 2023-11-07 12:24:45,  5,  -1, WPA, ,   ,  -1,        0,      397,   0.  0.  0.  0,   0, , 
F8:AF:05:D2:D9:D1, 2023-11-07 12:07:08, 2023-11-07 12:24:58,  6, 270, WPA2, CCMP, PSK, -63,      862,        0,   0.  0.  0.  0,   0, , 
4E:AB:F8:4C:AD:0F, 2023-11-07 12:07:08, 2023-11-07 12:24:41,  1, 130, WPA2, CCMP, PSK, -74,      128,      127,   0.  0.  0.  0,  12, Quintamar 4G, 
88:DE:7C:9B:CC:AF, 2023-11-07 12:07:08, 2023-11-07 12:24:37,  1, 130, WPA2, CCMP, PSK, -75,       20,       56,   0.  0.  0.  0,  15, Centro Conaripe, 
E4:AB:89:63:7F:C0, 2023-11-07 12:07:08, 2023-11-07 12:24:37,  1, 270, WPA2, CCMP, PSK, -73,       96,        0,   0.  0.  0.  0,   8, MURO 2,4, 
18:35:D1:7D:EC:59, 2023-11-07 12:07:08, 2023-11-07 12:24:12,  1, 130, WPA2, CCMP, PSK, -74,       94,       10,   0.  0.  0.  0,  11, VTR-9528717, 
3C:A3:7E:71:EF:23, 2023-11-07 12:07:09, 2023-11-07 12:24:22, 11, 360, WPA2 WPA, CCMP TKIP, PSK, -71,       50,        1,   0.  0.  0.  0,   0, , 
A4:6D:A4:34:94:DF, 2023-11-07 12:07:09, 2023-11-07 12:24:58,  6, 360, WPA2 WPA, CCMP TKIP, PSK, -53,     1281,        4,   0.  0.  0.  0,   0, , 
A4:6D:A4:34:94:DC, 2023-11-07 12:07:09, 2023-11-07 12:24:58,  6, 400, WPA2 WPA, CCMP, PSK, -55,     1375,        2,   0.  0.  0.  0,   7, LUCIANA, 
B0:EC:DD:71:BB:48, 2023-11-07 12:07:09, 2023-11-07 12:24:58, 11, 400, WPA2 WPA, CCMP, PSK, -29,     2376,      289,   0.  0.  0.  0,  10, Y4rd13-Ont, 
