Station MAC,First time seen,Last time seen,Power,# packets,BSSID,Probed ESSIDs
40:AC:BF:1E:BD:BD, 2023-11-07 12:07:08, 2023-11-07 12:24:45,-70,493,40:0D:10:07:93:59,
78:8B:2A:DD:CE:12, 2023-11-07 12:07:08, 2023-11-07 12:23:50,-1,50,4E:AB:F8:4C:AD:0F,
60:6D:C7:8C:6F:76, 2023-11-07 12:07:08, 2023-11-07 12:23:19,-73,72,8A:DE:7C:EB:8C:41,
B0:C5:54:A5:D3:7E, 2023-11-07 12:07:08, 2023-11-07 12:24:55,-75,250,(not associated),cloudmedwifi
C0:D2:F3:E4:F7:42, 2023-11-07 12:07:10, 2023-11-07 12:22:01,-75,19,(not associated),
7C:F6:66:40:5B:3D, 2023-11-07 12:07:10, 2023-11-07 12:24:58,-45,495,B0:EC:DD:71:BB:48,
7C:F6:66:56:96:E7, 2023-11-07 12:07:11, 2023-11-07 12:24:51,-42,409,B0:EC:DD:71:BB:48,
7C:F6:66:4A:37:C2, 2023-11-07 12:07:12, 2023-11-07 12:24:57,-65,408,B0:EC:DD:71:BB:48,
7C:F6:66:40:5A:A9, 2023-11-07 12:07:15, 2023-11-07 12:24:53,-68,439,B0:EC:DD:71:BB:48,
4C:09:D4:35:AD:DD, 2023-11-07 12:07:16, 2023-11-07 12:24:12,-77,42,B4:09:31:5C:83:70,
24:A1:60:36:87:68, 2023-11-07 12:07:20, 2023-11-07 12:24:51,-38,617,B0:EC:DD:71:BB:48,
2C:2B:F9:C1:0F:32, 2023-11-07 12:07:22, 2023-11-07 12:24:26,-74,19,B4:09:31:5B:FE:3C,
60:32:B1:B8:9A:F0, 2023-11-07 12:07:30, 2023-11-07 12:21:37,-75,9,(not associated),WOM-839043
44:D8:78:61:42:13, 2023-11-07 12:07:31, 2023-11-07 12:24:40,-68,17,B4:09:31:5B:FE:3C,
0C:91:60:35:1F:E5, 2023-11-07 12:07:34, 2023-11-07 12:24:49,-70,31,(not associated),JORGE
E4:3E:D7:0D:F4:AA, 2023-11-07 12:07:37, 2023-11-07 12:18:41,-78,10,40:0D:10:EB:DD:C1,
28:F0:76:3B:C4:D4, 2023-11-07 12:07:44, 2023-11-07 12:07:44,-71,1,(not associated),mujerysalud 5G
10:59:32:BA:38:D7, 2023-11-07 12:07:58, 2023-11-07 12:23:17,-75,20,90:3F:EA:22:9B:0C,NEGRITA 2022
24:11:45:E3:C8:8A, 2023-11-07 12:07:59, 2023-11-07 12:17:51,-1,57,4E:AB:F8:4C:AD:0F,
1C:90:FF:88:F3:42, 2023-11-07 12:08:02, 2023-11-07 12:24:52,-70,346,B0:EC:DD:71:BB:48,
00:BF:AF:0E:15:81, 2023-11-07 12:08:05, 2023-11-07 12:08:41,-71,4,90:3F:EA:22:9B:0C,
BE:E7:23:46:F1:90, 2023-11-07 12:08:09, 2023-11-07 12:24:58,-67,123,E4:57:40:E0:25:67,
96:84:51:A1:99:D6, 2023-11-07 12:08:09, 2023-11-07 12:24:08,-68,9,C4:69:F0:CF:F1:64,
60:7E:A4:49:DA:8C, 2023-11-07 12:08:09, 2023-11-07 12:23:00,-75,9,44:48:B9:07:66:7E,
F0:E4:A2:75:A2:BF, 2023-11-07 12:08:12, 2023-11-07 12:11:01,-75,5,4C:AB:F8:84:7E:FF,
84:FD:D1:B4:69:FF, 2023-11-07 12:08:13, 2023-11-07 12:23:13,-71,4,(not associated),
70:89:76:B6:96:4D, 2023-11-07 12:08:19, 2023-11-07 12:14:08,-76,2,E4:57:40:E0:25:67,
00:E0:35:2F:B1:91, 2023-11-07 12:08:23, 2023-11-07 12:20:50,-1,6,44:48:B9:C8:C2:48,
D0:05:2A:1F:78:61, 2023-11-07 12:08:24, 2023-11-07 12:12:03,-1,3,B4:09:31:5C:83:70,
98:22:EF:1F:D7:0D, 2023-11-07 12:08:27, 2023-11-07 12:24:09,-66,21,A4:6D:A4:34:94:DC,
38:1F:8D:53:2E:C0, 2023-11-07 12:08:30, 2023-11-07 12:22:49,-1,16,C4:0D:96:36:37:70,
F0:35:75:16:91:A5, 2023-11-07 12:08:32, 2023-11-07 12:24:55,-71,296,E4:57:40:AC:55:F9,
34:20:03:8E:04:7E, 2023-11-07 12:08:45, 2023-11-07 12:24:51,-71,13,90:17:3F:E7:84:70,
08:E9:F6:0A:DB:56, 2023-11-07 12:08:48, 2023-11-07 12:20:39,-76,4,98:48:27:1D:F0:A7,
66:C3:A9:29:29:60, 2023-11-07 12:08:49, 2023-11-07 12:08:49,-76,1,(not associated),
EE:4F:B2:4C:8F:E6, 2023-11-07 12:08:59, 2023-11-07 12:23:36,-76,35,44:48:B9:49:5C:70,
EE:FE:7C:F2:61:1B, 2023-11-07 12:09:02, 2023-11-07 12:09:02,-72,1,(not associated),
62:32:B0:29:31:87, 2023-11-07 12:09:04, 2023-11-07 12:19:58,-75,7,F0:3F:95:97:0F:20,
10:2C:6B:E6:17:B8, 2023-11-07 12:09:17, 2023-11-07 12:24:47,-64,2,66:E1:5C:3F:B5:2C,
5A:18:3A:DB:92:39, 2023-11-07 12:09:20, 2023-11-07 12:09:20,-72,1,(not associated),
8C:7A:AA:EA:57:F7, 2023-11-07 12:09:20, 2023-11-07 12:24:40,-65,20,E4:57:40:E0:25:67,VTR-2531514
EC:4D:3E:3B:F4:0E, 2023-11-07 12:09:24, 2023-11-07 12:09:24,-1,2,18:35:D1:8F:4E:61,
28:AD:18:BF:A4:80, 2023-11-07 12:09:24, 2023-11-07 12:23:14,-61,3,E4:57:40:AC:55:F9,
E8:6F:38:99:B4:23, 2023-11-07 12:09:28, 2023-11-07 12:09:28,-81,1,F8:5B:3B:9D:40:7D,
78:11:DC:18:9B:0B, 2023-11-07 12:09:32, 2023-11-07 12:09:32,-76,1,F8:5B:3B:9D:40:7D,
10:2C:6B:B6:69:A6, 2023-11-07 12:09:42, 2023-11-07 12:09:42,-75,2,(not associated),
40:9F:38:62:82:D9, 2023-11-07 12:09:46, 2023-11-07 12:24:47,-1,31,44:48:B9:49:5C:70,
78:8B:2A:CD:FB:F8, 2023-11-07 12:09:46, 2023-11-07 12:23:50,-75,15,4E:AB:F8:4C:AD:0F,
52:34:45:4A:BE:29, 2023-11-07 12:09:55, 2023-11-07 12:21:37,-44,12,(not associated),
00:BF:AF:62:30:7E, 2023-11-07 12:09:55, 2023-11-07 12:09:55,-77,3,(not associated),
DA:2D:96:C7:17:A1, 2023-11-07 12:10:16, 2023-11-07 12:10:16,-71,1,(not associated),
BC:D7:D4:E2:DC:84, 2023-11-07 12:10:19, 2023-11-07 12:24:16,-68,7,B4:09:31:5C:83:70,
64:1C:AE:C3:C9:E6, 2023-11-07 12:10:24, 2023-11-07 12:24:39,-77,8,(not associated),
EC:2E:98:C8:1C:3B, 2023-11-07 12:10:31, 2023-11-07 12:19:11,-74,9,(not associated),
86:18:3C:52:09:72, 2023-11-07 12:10:43, 2023-11-07 12:10:43,-69,1,(not associated),
38:FC:98:49:22:3A, 2023-11-07 12:11:41, 2023-11-07 12:23:53,-68,25,66:E1:5C:3F:B5:2C,
20:79:18:AC:7B:F5, 2023-11-07 12:11:43, 2023-11-07 12:11:43,-56,2,(not associated),Y4rd13-Ont
F4:FE:FB:42:7C:B7, 2023-11-07 12:11:49, 2023-11-07 12:18:42,-79,3,(not associated),
38:1F:8D:CD:31:55, 2023-11-07 12:11:56, 2023-11-07 12:16:57,-1,2,90:17:3F:E7:84:70,
86:31:F9:A5:06:38, 2023-11-07 12:12:54, 2023-11-07 12:12:54,-74,2,(not associated),
EA:9F:80:06:E0:30, 2023-11-07 12:13:03, 2023-11-07 12:18:37,-76,5,40:0D:10:07:93:59,
12:BF:69:A9:D5:48, 2023-11-07 12:13:03, 2023-11-07 12:21:48,-78,10,44:48:B9:C8:C2:48,
16:97:5A:5D:69:77, 2023-11-07 12:13:05, 2023-11-07 12:13:05,-74,1,(not associated),
E8:DB:84:8D:83:80, 2023-11-07 12:13:32, 2023-11-07 12:13:32,-72,1,E4:57:40:E0:25:67,
40:0D:10:F4:2B:41, 2023-11-07 12:13:39, 2023-11-07 12:13:39,-74,1,(not associated),
7E:BF:B2:DE:2C:EF, 2023-11-07 12:13:45, 2023-11-07 12:13:45,-72,1,(not associated),
7A:38:04:C7:F3:22, 2023-11-07 12:13:47, 2023-11-07 12:13:48,-78,2,(not associated),
