
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
C4:69:F0:CA:AC:77, 2023-11-17 23:22:21, 2023-11-18 00:20:06, 11, 360, WPA2 WPA, CCMP TKIP, PSK, -66,     2226,       74,   0.  0.  0.  0,   0, , 
8C:09:F4:F5:B7:A0, 2023-11-17 23:22:21, 2023-11-18 00:20:06, 11, 195, WPA2, CCMP, PSK, -63,     2486,        0,   0.  0.  0.  0,  10, ARRIS-B7A2, 
40:0D:10:0A:99:A1, 2023-11-17 23:22:21, 2023-11-18 00:20:09,  1, 130, WPA2, CCMP, PSK, -60,     2332,        0,   0.  0.  0.  0,  11, VTR-6971470, 
B0:EC:DD:71:BB:4B, 2023-11-17 23:22:21, 2023-11-18 00:20:08, 11, 360, WPA2 WPA, CCMP TKIP, PSK, -28,     9332,      140,   0.  0.  0.  0,   0, , 
18:35:D1:7D:EC:59, 2023-11-17 23:22:21, 2023-11-18 00:18:29,  1, 130, WPA2, CCMP, PSK, -73,      515,        0,   0.  0.  0.  0,  11, VTR-9528717, 
C0:05:C2:E4:B3:A1, 2023-11-17 23:22:21, 2023-11-18 00:20:08,  6, 130, WPA2, CCMP, PSK, -39,     3828,      408,   0.  0.  0.  0,  11, VTR-3633500, 
A4:6D:A4:34:94:DF, 2023-11-17 23:22:22, 2023-11-18 00:20:09,  1, 360, WPA2 WPA, CCMP TKIP, PSK, -55,     4572,       33,   0.  0.  0.  0,   0, , 
18:35:D1:8F:4E:61, 2023-11-17 23:22:22, 2023-11-18 00:19:42,  1, 130, WPA2, CCMP, PSK, -72,     1419,       29,   0.  0.  0.  0,  11, VTR-4171047, 
A4:6D:A4:34:94:DC, 2023-11-17 23:22:22, 2023-11-18 00:20:09,  1, 400, WPA2 WPA, CCMP, PSK, -55,     3081,       48,   0.  0.  0.  0,   7, LUCIANA, 
E4:57:40:E0:25:67, 2023-11-17 23:22:22, 2023-11-18 00:19:57,  1, 130, WPA2, CCMP, PSK, -68,      576,      118,   0.  0.  0.  0,  11, VTR-2531514, 
B4:09:31:5C:37:68, 2023-11-17 23:22:22, 2023-11-18 00:20:03,  6, 130, WPA2, CCMP, PSK, -74,     1229,        4,   0.  0.  0.  0,  11, HUAWEI 8XwS, 
F8:AF:05:D2:D9:CC, 2023-11-17 23:22:22, 2023-11-18 00:20:09,  6, 270, WPA2 WPA, CCMP, PSK, -56,     4555,        0,   0.  0.  0.  0,   7, ROSARIO, 
B0:EC:DD:71:BB:48, 2023-11-17 23:22:22, 2023-11-18 00:20:08, 11, 400, WPA2 WPA, CCMP, PSK, -28,     8589,      300,   0.  0.  0.  0,  10, Y4rd13-Ont, 
18:35:D1:48:EF:F1, 2023-11-17 23:22:22, 2023-11-18 00:19:46,  1, 130, WPA2, CCMP, PSK, -70,     1337,        0,   0.  0.  0.  0,  11, VTR-9970073, 
F8:AF:05:D2:D9:D1, 2023-11-17 23:22:22, 2023-11-18 00:20:08,  6, 270, WPA2, CCMP, PSK, -51,     3651,        0,   0.  0.  0.  0,   0, , 
78:B2:13:E6:88:60, 2023-11-17 23:22:24, 2023-11-18 00:20:06, 10, 270, WPA2, CCMP TKIP, PSK, -78,      551,        0,   0.  0.  0.  0,  18, ROC-14931335315578, 
14:EB:08:4F:AA:AC, 2023-11-17 23:22:24, 2023-11-18 00:09:42, 11, 400, WPA2 WPA, CCMP, PSK, -81,        8,        0,   0.  0.  0.  0,   5, Oddie, 
