BSSID,First time seen,Last time seen,channel,Speed,Privacy,Cipher,Authentication,Power,# beacons,# IV,LAN IP,ID-length,ESSID,Key
B0:C5:54:A5:D3:7E, 2023-11-07 14:10:49, 2023-11-07 14:38:35,  1, 130, WPA2, CCMP, PSK,-65.0,355.0,0.0,   0.  0.  0.  0,8.0, cloudmed, 
2C:A0:42:E5:E5:7D, 2023-11-07 14:10:49, 2023-11-07 14:37:59,  1, 270, WPA2, CCMP, PSK,-68.0,16.0,0.0,   0.  0.  0.  0,5.0, ....., 
44:48:B9:43:ED:28, 2023-11-07 14:10:49, 2023-11-07 14:16:37,  1, 130, WPA2, CCMP, PSK,-81.0,4.0,0.0,   0.  0.  0.  0,12.0, OTEC Cenakin, 
60:7E:CD:DE:6B:40, 2023-11-07 14:10:49, 2023-11-07 14:38:28,  1, 130, WPA2 WPA, CCMP, PSK,-74.0,129.0,0.0,   0.  0.  0.  0,9.0, Toya yaya, 
4E:AB:F8:4C:AD:0F, 2023-11-07 14:10:49, 2023-11-07 14:38:39,  1, 130, WPA2, CCMP, PSK,-65.0,296.0,353.0,   0.  0.  0.  0,12.0, Quintamar 4G, 
18:35:D1:7D:EC:59, 2023-11-07 14:10:49, 2023-11-07 14:38:35,  1, 130, WPA2, CCMP, PSK,-62.0,373.0,41.0,   0.  0.  0.  0,11.0, VTR-9528717, 
B4:09:31:5C:83:70, 2023-11-07 14:10:49, 2023-11-07 14:38:39,  1, 130, WPA2 WPA, CCMP, PSK,-65.0,94.0,1.0,   0.  0.  0.  0,12.0, HUAWEI-ENTEL, 
18:35:D1:48:EF:F1, 2023-11-07 14:10:49, 2023-11-07 14:38:39,  1, 130, WPA2, CCMP, PSK,-70.0,189.0,0.0,   0.  0.  0.  0,11.0, VTR-9970073, 
90:17:3F:E7:84:70, 2023-11-07 14:10:49, 2023-11-07 14:38:35,  1, 130, WPA2 WPA, CCMP, PSK,-71.0,650.0,63.0,   0.  0.  0.  0,6.0, D401VM, 
6C:34:91:06:BC:0C, 2023-11-07 14:10:49, 2023-11-07 14:38:10,  1, 360, WPA2 WPA, CCMP, PSK,-71.0,74.0,4.0,   0.  0.  0.  0,7.0, Claudia, 
C0:05:C2:C2:58:D9, 2023-11-07 14:10:49, 2023-11-07 14:38:28,  1, 130, WPA2, CCMP, PSK,-71.0,63.0,0.0,   0.  0.  0.  0,11.0, VTR-5765902, 
E8:13:6E:83:92:4C, 2023-11-07 14:10:49, 2023-11-07 14:38:39,  1, 130, WPA2 WPA, CCMP, PSK,-60.0,367.0,56.0,   0.  0.  0.  0,6.0, ELALPA, 
40:0D:10:07:93:59, 2023-11-07 14:10:49, 2023-11-07 14:38:39,  7,  -1, WPA, ,   ,-1.0,0.0,2360.0,   0.  0.  0.  0,5.0, LOBBY, 
8C:09:F4:F5:B7:A0, 2023-11-07 14:10:49, 2023-11-07 14:38:35,  6, 195, WPA2, CCMP, PSK,-65.0,785.0,0.0,   0.  0.  0.  0,10.0, ARRIS-B7A2, 
C0:05:C2:E4:B3:A1, 2023-11-07 14:10:49, 2023-11-07 14:38:37, 11, 130, WPA2, CCMP, PSK,-49.0,1779.0,0.0,   0.  0.  0.  0,11.0, VTR-3633500, 
B0:EC:DD:71:BB:48, 2023-11-07 14:10:49, 2023-11-07 14:38:39, 11, 400, WPA2 WPA, CCMP, PSK,-40.0,3087.0,231.0,   0.  0.  0.  0,10.0, Y4rd13-Ont, 
E4:57:40:AC:55:F9, 2023-11-07 14:10:49, 2023-11-07 14:38:32, 11, 130, WPA2, CCMP, PSK,-72.0,957.0,0.0,   0.  0.  0.  0,11.0, VTR-4929136, 
18:35:D1:8F:4E:61, 2023-11-07 14:10:49, 2023-11-07 14:38:38, 11, 130, WPA2, CCMP, PSK,-53.0,2519.0,26.0,   0.  0.  0.  0,11.0, VTR-4171047, 
F0:3F:95:97:0F:20, 2023-11-07 14:10:50, 2023-11-07 14:38:15,  2, 130, WPA2 WPA, CCMP, PSK,-75.0,9.0,1.0,   0.  0.  0.  0,9.0, ALEJANDRA, 
B0:EC:DD:71:BB:4B, 2023-11-07 14:10:50, 2023-11-07 14:38:38, 11, 360, WPA2 WPA, CCMP TKIP, PSK,-38.0,3178.0,75.0,   0.  0.  0.  0,0.0, , 
F8:AF:05:D2:D9:D1, 2023-11-07 14:10:51, 2023-11-07 14:38:38,  6, 270, WPA2, CCMP, PSK,-54.0,1449.0,0.0,   0.  0.  0.  0,0.0, , 
F8:AF:05:D2:D9:CC, 2023-11-07 14:10:51, 2023-11-07 14:38:39,  6, 270, WPA2 WPA, CCMP, PSK,-50.0,1422.0,0.0,   0.  0.  0.  0,7.0, ROSARIO, 
A4:6D:A4:34:94:DF, 2023-11-07 14:10:51, 2023-11-07 14:38:39,  6, 360, WPA2 WPA, CCMP TKIP, PSK,-60.0,566.0,1.0,   0.  0.  0.  0,0.0, , 
E4:57:40:D3:EC:1A, 2023-11-07 14:10:51, 2023-11-07 14:38:38, 11, 130, WPA2, CCMP, PSK,-59.0,2332.0,0.0,   0.  0.  0.  0,11.0, VTR-4776472, 
94:00:B0:E7:FD:A0, 2023-11-07 14:10:51, 2023-11-07 14:38:35, 11, 130, WPA2 WPA, CCMP, PSK,-73.0,174.0,26.0,   0.  0.  0.  0,9.0, ALEX_WIFI, 
E4:57:40:E0:25:67, 2023-11-07 14:10:52, 2023-11-07 14:38:37, 11, 130, WPA2, CCMP, PSK,-66.0,741.0,129.0,   0.  0.  0.  0,11.0, VTR-2531514, 
40:0D:10:0A:99:A1, 2023-11-07 14:10:52, 2023-11-07 14:38:38, 11, 130, WPA2, CCMP, PSK,-65.0,443.0,0.0,   0.  0.  0.  0,11.0, VTR-6971470, 
C4:FB:AA:82:BD:DF, 2023-11-07 14:10:52, 2023-11-07 14:38:38, 11, 360, WPA2 WPA, CCMP TKIP, PSK,-74.0,37.0,3.0,   0.  0.  0.  0,0.0, , 
C4:FB:AA:82:BD:DC, 2023-11-07 14:10:52, 2023-11-07 14:38:24, 11, 400, WPA2 WPA, CCMP, PSK,-73.0,58.0,3.0,   0.  0.  0.  0,7.0, Quetzal, 
B4:09:31:5B:FE:3C, 2023-11-07 14:10:52, 2023-11-07 14:38:38, 11, 130, WPA2 WPA, CCMP, PSK,-76.0,48.0,98.0,   0.  0.  0.  0,6.0, HAYLEN, 
